period,metric,value,unit,source
Mar-2025,Registered users,618.4,million,PhonePe UDRHP-I
Mar-2025,Monthly active customers (MAC),230.08,million,PhonePe UDRHP-I
Mar-2025,Registered merchants,44.87,million,PhonePe UDRHP-I
Mar-2025,Monthly active merchants (MAM),11.31,million,PhonePe UDRHP-I
Mar-2025,Daily active merchants (DAM),6.77,million,PhonePe UDRHP-I
Sep-2025,Registered merchants,47.19,million,PhonePe UDRHP-I
Sep-2025,Monthly active merchants (MAM),11.11,million,PhonePe UDRHP-I
Sep-2025,Daily active merchants (DAM),6.75,million,PhonePe UDRHP-I
Sep-2025,Payment devices deployed,9.19,million,PhonePe UDRHP-I
Q2-2026,Registered users,711.653262,million,PhonePe Pulse
Q2-2026,Registered merchants,50.705249,million,PhonePe Pulse
Jul-2026,Lifetime registered users,718.0,million,PhonePe press page
Jul-2026,Customer transactions in month,11.0,billion,PhonePe press page
