merchant_id,variant,retained_30d_experiment,support_contact_30d,fraud_flag_30d
M000002,Merchant Launchpad,0,0,0
M000006,Merchant Launchpad,1,0,0
M000012,Control,0,0,0
M000014,Merchant Launchpad,1,0,0
M000016,Merchant Launchpad,0,0,0
M000019,Merchant Launchpad,0,0,0
M000024,Control,1,1,0
M000025,Control,1,0,0
M000028,Merchant Launchpad,0,0,0
M000035,Control,0,0,0
M000037,Control,0,1,0
M000038,Merchant Launchpad,0,0,0
M000042,Merchant Launchpad,1,0,0
M000046,Control,0,0,0
M000048,Control,0,0,0
M000050,Control,0,0,0
M000051,Control,1,1,0
M000061,Merchant Launchpad,1,0,0
M000064,Control,0,0,0
M000067,Merchant Launchpad,0,0,0
M000071,Merchant Launchpad,1,0,0
M000081,Merchant Launchpad,1,0,0
M000084,Merchant Launchpad,0,0,0
M000089,Merchant Launchpad,0,0,0
M000090,Control,0,1,0
M000092,Merchant Launchpad,0,0,0
M000093,Merchant Launchpad,0,0,0
M000095,Control,1,0,0
M000101,Control,1,1,0
M000103,Control,0,0,0
M000105,Merchant Launchpad,0,0,0
M000106,Control,1,0,0
M000107,Control,0,0,0
M000112,Control,0,0,0
M000125,Control,1,0,0
M000128,Control,0,0,0
M000135,Merchant Launchpad,0,0,0
M000141,Merchant Launchpad,1,0,0
M000145,Control,0,0,0
M000146,Merchant Launchpad,1,1,0
M000149,Control,0,0,0
M000151,Merchant Launchpad,1,0,0
M000153,Control,0,0,0
M000160,Control,0,0,0
M000161,Merchant Launchpad,0,1,0
M000166,Control,0,0,0
M000173,Control,1,0,0
M000179,Merchant Launchpad,0,0,0
M000181,Control,0,0,0
M000195,Control,0,0,0
M000200,Control,1,0,0
M000202,Merchant Launchpad,1,1,0
M000207,Control,0,0,0
M000208,Merchant Launchpad,1,0,0
M000210,Merchant Launchpad,1,0,0
M000213,Control,0,0,0
M000220,Merchant Launchpad,0,0,0
M000227,Control,1,1,0
M000232,Merchant Launchpad,0,1,0
M000234,Merchant Launchpad,0,0,0
M000247,Control,1,1,0
M000249,Control,1,0,0
M000261,Merchant Launchpad,1,0,0
M000264,Control,0,0,0
M000265,Control,1,0,0
M000274,Merchant Launchpad,1,0,0
M000278,Control,0,0,0
M000286,Merchant Launchpad,1,0,0
M000291,Merchant Launchpad,0,0,0
M000293,Merchant Launchpad,1,0,0
M000297,Control,1,1,0
M000302,Merchant Launchpad,0,0,0
M000304,Merchant Launchpad,1,0,0
M000319,Control,0,0,0
M000320,Merchant Launchpad,0,0,0
M000324,Merchant Launchpad,0,0,0
M000325,Merchant Launchpad,0,0,0
M000334,Control,1,0,0
M000336,Merchant Launchpad,0,0,0
M000337,Control,0,0,0
M000340,Merchant Launchpad,0,0,0
M000345,Merchant Launchpad,0,0,0
M000347,Control,0,0,0
M000348,Control,0,0,0
M000355,Control,0,0,0
M000356,Merchant Launchpad,1,0,0
M000358,Control,0,0,0
M000361,Control,0,0,0
M000362,Merchant Launchpad,0,1,0
M000364,Control,1,0,0
M000370,Control,0,0,0
M000375,Merchant Launchpad,0,0,0
M000382,Control,1,0,0
M000383,Control,0,0,0
M000388,Merchant Launchpad,1,0,0
M000389,Merchant Launchpad,0,0,0
M000396,Control,1,0,0
M000401,Control,0,0,0
M000402,Merchant Launchpad,0,0,0
M000404,Merchant Launchpad,1,1,0
M000409,Merchant Launchpad,0,1,0
M000417,Merchant Launchpad,0,1,0
M000421,Control,0,0,0
M000423,Merchant Launchpad,0,0,0
M000427,Control,0,0,0
M000428,Control,1,1,0
M000433,Control,0,0,0
M000438,Control,0,0,0
M000441,Merchant Launchpad,0,0,0
M000448,Control,1,0,0
M000451,Merchant Launchpad,0,0,0
M000452,Merchant Launchpad,0,0,0
M000459,Control,0,0,0
M000466,Control,0,0,0
M000470,Merchant Launchpad,0,0,0
M000472,Merchant Launchpad,1,0,0
M000476,Merchant Launchpad,0,0,0
M000477,Merchant Launchpad,0,1,0
M000482,Merchant Launchpad,0,0,0
M000484,Control,0,1,0
M000489,Control,0,0,0
M000491,Control,0,0,0
M000492,Control,1,0,0
M000493,Control,1,0,0
M000499,Merchant Launchpad,1,0,0
M000503,Control,0,0,0
M000504,Merchant Launchpad,1,0,0
M000511,Control,1,0,0
M000513,Merchant Launchpad,0,0,0
M000514,Merchant Launchpad,0,0,0
M000515,Merchant Launchpad,0,0,0
M000517,Control,0,0,0
M000524,Control,0,0,0
M000527,Control,0,1,0
M000529,Merchant Launchpad,0,0,0
M000530,Merchant Launchpad,0,1,0
M000545,Merchant Launchpad,0,0,0
M000551,Merchant Launchpad,0,0,0
M000553,Control,1,0,0
M000555,Control,0,0,0
M000558,Merchant Launchpad,0,0,0
M000559,Control,1,0,0
M000560,Merchant Launchpad,0,0,0
M000565,Merchant Launchpad,0,0,0
M000571,Control,1,0,0
M000577,Control,1,0,0
M000579,Control,0,0,0
M000582,Merchant Launchpad,1,0,0
M000586,Control,0,0,0
M000589,Merchant Launchpad,1,1,0
M000590,Control,0,0,0
M000591,Control,0,0,0
M000592,Merchant Launchpad,0,0,0
M000594,Merchant Launchpad,0,0,0
M000596,Control,0,1,0
M000598,Merchant Launchpad,1,0,0
M000602,Control,0,0,0
M000605,Merchant Launchpad,1,0,0
M000609,Merchant Launchpad,0,1,0
M000610,Merchant Launchpad,0,0,0
M000611,Merchant Launchpad,0,0,0
M000613,Control,1,0,0
M000639,Merchant Launchpad,0,0,0
M000640,Merchant Launchpad,0,0,0
M000642,Merchant Launchpad,0,0,0
M000643,Merchant Launchpad,0,0,0
M000645,Control,0,0,0
M000649,Merchant Launchpad,0,1,0
M000650,Control,0,0,0
M000654,Merchant Launchpad,0,0,0
M000657,Merchant Launchpad,0,0,0
M000668,Merchant Launchpad,1,0,0
M000669,Control,1,0,0
M000671,Merchant Launchpad,1,0,0
M000680,Control,1,0,0
M000683,Control,1,0,0
M000684,Control,0,0,1
M000686,Merchant Launchpad,0,0,0
M000690,Control,0,0,0
M000691,Control,0,0,0
M000692,Merchant Launchpad,1,0,0
M000693,Merchant Launchpad,0,0,0
M000694,Control,1,0,0
M000714,Merchant Launchpad,1,0,0
M000715,Merchant Launchpad,1,0,0
M000716,Merchant Launchpad,0,0,0
M000722,Merchant Launchpad,1,0,0
M000723,Control,0,1,0
M000725,Control,0,0,0
M000733,Merchant Launchpad,1,1,0
M000734,Merchant Launchpad,0,0,0
M000740,Control,0,0,0
M000741,Control,1,0,0
M000742,Control,1,0,0
M000745,Merchant Launchpad,1,0,0
M000751,Control,0,0,0
M000754,Control,0,0,0
M000763,Control,0,0,0
M000764,Merchant Launchpad,0,0,0
M000766,Merchant Launchpad,0,0,0
M000772,Control,0,0,0
M000775,Control,0,0,0
M000776,Control,1,0,0
M000780,Control,0,0,0
M000781,Merchant Launchpad,1,0,0
M000794,Merchant Launchpad,0,0,0
M000797,Control,0,0,0
M000804,Merchant Launchpad,1,0,0
M000806,Control,0,0,0
M000810,Merchant Launchpad,0,1,0
M000812,Control,1,0,0
M000815,Control,1,0,0
M000816,Merchant Launchpad,0,0,0
M000820,Control,0,0,0
M000828,Merchant Launchpad,0,1,0
M000829,Control,0,1,0
M000835,Merchant Launchpad,1,0,0
M000836,Control,0,1,0
M000837,Merchant Launchpad,0,0,0
M000840,Merchant Launchpad,0,0,0
M000843,Merchant Launchpad,0,0,0
M000849,Control,0,1,0
M000851,Merchant Launchpad,1,1,0
M000852,Merchant Launchpad,0,0,0
M000853,Merchant Launchpad,1,0,0
M000856,Merchant Launchpad,1,0,0
M000860,Merchant Launchpad,0,0,0
M000861,Control,1,0,0
M000862,Control,1,1,0
M000864,Control,0,0,0
M000865,Merchant Launchpad,1,0,0
M000867,Merchant Launchpad,1,0,0
M000868,Merchant Launchpad,0,0,0
M000882,Merchant Launchpad,1,0,0
M000885,Merchant Launchpad,0,0,0
M000894,Merchant Launchpad,1,0,0
M000904,Merchant Launchpad,1,0,0
M000911,Merchant Launchpad,0,0,0
M000914,Control,0,0,0
M000918,Merchant Launchpad,0,0,0
M000921,Control,1,0,0
M000926,Merchant Launchpad,0,0,0
M000936,Merchant Launchpad,1,0,0
M000943,Control,0,1,0
M000947,Merchant Launchpad,1,0,0
M000949,Merchant Launchpad,0,0,0
M000955,Merchant Launchpad,1,0,0
M000959,Merchant Launchpad,1,0,0
M000963,Merchant Launchpad,0,0,0
M000965,Merchant Launchpad,0,0,0
M000969,Control,1,0,0
M000990,Merchant Launchpad,0,0,0
M000999,Merchant Launchpad,1,0,0
M001001,Control,0,0,0
M001004,Merchant Launchpad,0,0,0
M001006,Merchant Launchpad,0,0,0
M001007,Control,0,0,0
M001012,Merchant Launchpad,0,0,0
M001016,Merchant Launchpad,0,0,0
M001023,Merchant Launchpad,1,0,0
M001024,Merchant Launchpad,1,0,0
M001025,Control,0,0,0
M001037,Control,0,1,0
M001040,Control,1,0,0
M001042,Control,0,0,0
M001054,Control,0,0,0
M001056,Control,1,0,0
M001058,Control,0,1,0
M001061,Merchant Launchpad,1,0,0
M001065,Merchant Launchpad,0,0,0
M001067,Control,1,0,0
M001073,Control,0,1,0
M001080,Merchant Launchpad,1,0,0
M001081,Merchant Launchpad,0,0,0
M001082,Control,1,0,0
M001083,Merchant Launchpad,0,0,0
M001086,Control,0,0,0
M001087,Merchant Launchpad,0,0,0
M001088,Merchant Launchpad,1,0,0
M001093,Merchant Launchpad,0,0,0
M001097,Merchant Launchpad,0,0,0
M001098,Control,0,0,0
M001103,Merchant Launchpad,0,0,0
M001108,Control,0,0,0
M001109,Merchant Launchpad,0,1,0
M001117,Merchant Launchpad,0,0,0
M001125,Control,1,0,0
M001126,Control,1,0,0
M001127,Merchant Launchpad,1,0,0
M001133,Merchant Launchpad,1,0,0
M001134,Control,1,0,0
M001141,Merchant Launchpad,0,0,0
M001143,Merchant Launchpad,1,1,0
M001144,Control,0,0,0
M001148,Merchant Launchpad,0,0,0
M001150,Merchant Launchpad,0,0,0
M001154,Control,1,0,0
M001158,Merchant Launchpad,0,0,0
M001163,Merchant Launchpad,0,0,0
M001169,Control,0,1,0
M001170,Merchant Launchpad,1,0,0
M001182,Merchant Launchpad,1,0,0
M001198,Control,0,0,0
M001199,Merchant Launchpad,1,0,0
M001201,Merchant Launchpad,0,0,0
M001203,Control,0,0,0
M001204,Control,1,0,0
M001206,Control,1,0,0
M001210,Control,1,0,0
M001212,Control,0,0,0
M001214,Merchant Launchpad,0,0,0
M001219,Merchant Launchpad,1,0,0
M001223,Control,1,0,0
M001226,Control,0,0,0
M001228,Merchant Launchpad,0,0,0
M001231,Control,0,0,0
M001233,Control,1,0,0
M001242,Control,1,1,0
M001243,Control,1,0,0
M001245,Control,1,0,0
M001246,Control,1,0,0
M001247,Merchant Launchpad,1,0,0
M001250,Merchant Launchpad,0,0,0
M001254,Merchant Launchpad,0,0,0
M001260,Merchant Launchpad,0,0,0
M001262,Control,1,0,0
M001264,Merchant Launchpad,0,0,0
M001269,Control,0,0,0
M001273,Control,0,0,0
M001275,Control,0,0,0
M001278,Merchant Launchpad,0,0,0
M001280,Merchant Launchpad,0,0,0
M001284,Merchant Launchpad,0,1,0
M001287,Control,0,0,0
M001292,Merchant Launchpad,0,0,0
M001295,Merchant Launchpad,1,1,0
M001301,Control,0,0,0
M001304,Merchant Launchpad,1,0,0
M001310,Control,1,0,0
M001313,Control,0,0,0
M001314,Merchant Launchpad,1,0,0
M001315,Merchant Launchpad,0,0,0
M001324,Merchant Launchpad,1,0,0
M001325,Merchant Launchpad,1,0,0
M001334,Control,0,0,0
M001336,Merchant Launchpad,0,0,0
M001339,Control,0,0,0
