merchant_id,month,transactions,tpv_inr,active_days,refund_count,support_tickets
M000001,2025-08,0,0.0,0,0,0
M000001,2025-09,0,0.0,0,0,0
M000001,2025-10,0,0.0,0,0,0
M000001,2025-11,0,0.0,0,0,0
M000001,2025-12,0,0.0,0,0,1
M000001,2026-01,28,20890.22,17,0,0
M000001,2026-02,0,0.0,0,0,0
M000001,2026-03,0,0.0,0,0,0
M000001,2026-04,25,18178.93,18,0,0
M000001,2026-05,20,14496.13,19,0,0
M000001,2026-06,0,0.0,0,0,0
M000002,2026-04,0,0.0,0,0,0
M000002,2026-05,0,0.0,0,0,0
M000002,2026-06,111,50369.5,21,0,0
M000003,2026-02,0,0.0,0,0,0
M000003,2026-03,0,0.0,0,0,0
M000003,2026-04,348,107153.53,18,1,0
M000003,2026-05,269,77535.83,17,1,0
M000003,2026-06,246,70370.64,24,0,0
M000004,2025-12,176,80967.86,18,0,2
M000004,2026-01,0,0.0,0,0,0
M000004,2026-02,151,65560.05,10,0,0
M000004,2026-03,157,69215.37,12,1,0
M000004,2026-04,0,0.0,0,0,0
M000004,2026-05,0,0.0,0,0,0
M000004,2026-06,172,66034.86,12,0,0
M000005,2025-12,0,0.0,0,0,0
M000005,2026-01,0,0.0,0,0,0
M000005,2026-02,0,0.0,0,0,0
M000005,2026-03,0,0.0,0,0,0
M000005,2026-04,0,0.0,0,0,0
M000005,2026-05,0,0.0,0,0,0
M000005,2026-06,0,0.0,0,0,0
M000006,2026-05,296,160258.18,24,1,0
M000006,2026-06,352,199108.57,16,0,0
M000007,2025-08,0,0.0,0,0,0
M000007,2025-09,0,0.0,0,0,0
M000007,2025-10,33,15027.31,15,0,0
M000007,2025-11,41,17997.73,20,0,1
M000007,2025-12,0,0.0,0,0,0
M000007,2026-01,0,0.0,0,0,0
M000007,2026-02,52,20485.7,20,0,0
M000007,2026-03,0,0.0,0,0,0
M000007,2026-04,0,0.0,0,0,0
M000007,2026-05,43,17076.46,7,0,0
M000007,2026-06,0,0.0,0,0,0
M000008,2026-03,0,0.0,0,0,0
M000008,2026-04,176,132375.75,14,1,0
M000008,2026-05,167,102374.64,11,0,0
M000008,2026-06,0,0.0,0,0,0
M000009,2025-09,0,0.0,0,0,0
