merchant_id,state,business_segment,city_tier,acquisition_channel,onboard_date,qr_ready,first_txn,active_7d,retained_30d,high_frequency,device_deployed,qr_ready_date,first_txn_date,active_7d_date,retained_30d_date,device_deployed_date
M000001,Madhya Pradesh,Fashion/Retail,Tier 2,Field sales,2025-08-02,1,1,0,0,0,0,2025-08-04,2025-08-08,,,
M000002,Rajasthan,Kirana/Grocery,Tier 1,Partner,2026-04-09,1,1,1,0,0,0,2026-04-10,2026-04-16,2026-04-16,,
M000003,Karnataka,Food & Beverage,Tier 1,Referral,2026-02-24,1,1,1,1,0,1,2026-02-27,2026-03-02,2026-03-01,2026-03-29,2026-05-14
M000004,Bihar,Kirana/Grocery,Tier 3+,Referral,2025-12-08,1,1,1,1,0,0,2025-12-09,2025-12-15,2025-12-17,2026-01-07,
M000005,Maharashtra,Kirana/Grocery,Tier 2,Partner,2025-12-06,1,0,0,0,0,0,2025-12-09,,,,
M000006,Bihar,Pharmacy,Tier 1,Field sales,2026-05-10,1,1,1,1,1,1,2026-05-11,2026-05-14,2026-05-19,2026-06-04,2026-06-01
M000007,Rajasthan,Kirana/Grocery,Tier 1,Field sales,2025-08-01,1,0,0,0,0,0,2025-08-03,,,,
M000008,Maharashtra,Services,Tier 3+,Online,2026-03-12,1,1,1,1,1,1,2026-03-14,2026-03-13,2026-03-16,2026-04-11,2026-05-23
M000009,Maharashtra,Pharmacy,Tier 2,Organic QR,2025-09-12,1,1,1,0,0,0,2025-09-15,2025-09-16,2025-09-22,,
M000010,Bihar,Kirana/Grocery,Tier 2,Referral,2025-08-04,1,1,1,1,1,1,2025-08-07,2025-08-05,2025-08-07,2025-08-31,2025-10-15
M000011,Karnataka,Food & Beverage,Tier 1,Organic QR,2026-01-09,1,0,0,0,0,0,2026-01-10,,,,
M000012,West Bengal,Pharmacy,Tier 1,Online,2026-06-22,1,1,0,0,0,0,2026-06-24,2026-06-24,,,
M000013,Bihar,Fashion/Retail,Tier 3+,Online,2026-03-26,1,1,1,1,1,0,2026-03-26,2026-03-29,2026-04-03,2026-04-17,
M000014,Bihar,Kirana/Grocery,Tier 3+,Field sales,2026-04-04,1,1,1,0,0,0,2026-04-07,2026-04-07,2026-04-07,,
M000015,Karnataka,Other,Tier 2,Online,2026-03-19,1,1,1,1,1,0,2026-03-21,2026-03-25,2026-03-23,2026-04-20,
M000016,Bihar,Fashion/Retail,Tier 3+,Field sales,2026-04-13,1,0,0,0,0,0,2026-04-14,,,,
M000017,West Bengal,Services,Tier 2,Organic QR,2026-01-04,0,0,0,0,0,0,,,,,
M000018,Maharashtra,Food & Beverage,Tier 3+,Online,2025-08-16,1,1,1,0,0,0,2025-08-19,2025-08-22,2025-08-23,,
M000019,Telangana,Pharmacy,Tier 1,Field sales,2026-05-03,0,0,0,0,0,0,,,,,
M000020,Karnataka,Fashion/Retail,Tier 2,Field sales,2025-12-12,1,1,1,1,1,0,2025-12-15,2025-12-17,2025-12-17,2026-01-01,
M000021,Uttar Pradesh,Food & Beverage,Tier 3+,Partner,2025-12-30,1,1,0,0,0,0,2025-12-30,2026-01-02,,,
M000022,Bihar,Other,Tier 3+,Online,2025-11-13,0,0,0,0,0,0,,,,,
M000023,Uttar Pradesh,Other,Tier 3+,Field sales,2025-09-05,0,0,0,0,0,0,,,,,
M000024,Uttar Pradesh,Food & Beverage,Tier 2,Partner,2026-06-04,1,1,0,0,0,0,2026-06-07,2026-06-04,,,
M000025,Telangana,Pharmacy,Tier 3+,Organic QR,2026-04-12,0,0,0,0,0,0,,,,,
M000026,Maharashtra,Services,Tier 3+,Organic QR,2026-02-21,0,0,0,0,0,0,,,,,
M000027,Karnataka,Pharmacy,Tier 1,Partner,2025-11-24,1,0,0,0,0,0,2025-11-25,,,,
M000028,Madhya Pradesh,Fashion/Retail,Tier 2,Organic QR,2026-04-27,1,1,1,1,0,0,2026-04-27,2026-05-03,2026-05-07,2026-05-18,
M000029,Rajasthan,Kirana/Grocery,Tier 2,Referral,2026-01-16,1,0,0,0,0,0,2026-01-17,,,,
M000030,Telangana,Kirana/Grocery,Tier 2,Partner,2025-12-09,1,0,0,0,0,0,2025-12-10,,,,
M000031,Madhya Pradesh,Food & Beverage,Tier 3+,Online,2025-12-12,1,1,1,1,1,1,2025-12-12,2025-12-13,2025-12-20,2026-01-05,2026-03-07
M000032,Maharashtra,Other,Tier 2,Referral,2025-09-21,1,1,1,1,0,1,2025-09-23,2025-09-25,2025-09-24,2025-10-20,2025-10-28
M000033,Karnataka,Food & Beverage,Tier 1,Field sales,2025-08-03,1,1,1,1,0,0,2025-08-04,2025-08-04,2025-08-08,2025-08-28,
M000034,Karnataka,Fashion/Retail,Tier 1,Referral,2026-01-19,0,0,0,0,0,0,,,,,
M000035,West Bengal,Food & Beverage,Tier 3+,Partner,2026-05-21,1,1,0,0,0,0,2026-05-23,2026-05-24,,,
M000036,Bihar,Kirana/Grocery,Tier 1,Field sales,2025-07-24,1,1,1,1,1,0,2025-07-25,2025-07-25,2025-07-31,2025-08-18,
M000037,Rajasthan,Other,Tier 3+,Partner,2026-05-10,1,0,0,0,0,0,2026-05-12,,,,
M000038,Maharashtra,Services,Tier 1,Referral,2026-04-29,1,1,0,0,0,0,2026-04-29,2026-05-06,,,
M000039,Karnataka,Food & Beverage,Tier 2,Field sales,2025-10-10,1,1,1,0,0,0,2025-10-13,2025-10-13,2025-10-14,,
M000040,Rajasthan,Kirana/Grocery,Tier 3+,Organic QR,2026-02-16,1,1,1,1,1,0,2026-02-18,2026-02-23,2026-02-20,2026-03-16,
M000041,Telangana,Kirana/Grocery,Tier 2,Organic QR,2025-08-30,0,0,0,0,0,0,,,,,
M000042,West Bengal,Kirana/Grocery,Tier 3+,Organic QR,2026-04-03,1,1,1,1,1,0,2026-04-03,2026-04-06,2026-04-06,2026-05-06,
M000043,Bihar,Food & Beverage,Tier 1,Online,2026-03-13,1,1,1,1,0,0,2026-03-13,2026-03-16,2026-03-16,2026-04-07,
M000044,Uttar Pradesh,Services,Tier 2,Field sales,2025-11-07,1,1,1,0,0,0,2025-11-10,2025-11-10,2025-11-17,,
M000045,Bihar,Food & Beverage,Tier 2,Referral,2025-07-25,1,1,1,1,0,0,2025-07-27,2025-07-30,2025-08-01,2025-08-20,
M000046,West Bengal,Kirana/Grocery,Tier 3+,Referral,2026-06-20,1,0,0,0,0,0,2026-06-23,,,,
M000047,Uttar Pradesh,Kirana/Grocery,Tier 1,Organic QR,2025-12-10,1,1,0,0,0,0,2025-12-11,2025-12-16,,,
M000048,Rajasthan,Food & Beverage,Tier 2,Organic QR,2026-05-22,1,1,1,1,0,1,2026-05-23,2026-05-29,2026-05-27,2026-06-11,2026-06-29
M000049,West Bengal,Other,Tier 2,Field sales,2026-03-05,0,0,0,0,0,0,,,,,
M000050,Karnataka,Food & Beverage,Tier 3+,Field sales,2026-04-11,1,1,0,0,0,0,2026-04-12,2026-04-11,,,
M000051,West Bengal,Kirana/Grocery,Tier 3+,Organic QR,2026-04-04,1,1,0,0,0,0,2026-04-04,2026-04-08,,,
M000052,Maharashtra,Services,Tier 3+,Field sales,2025-09-10,1,1,1,1,0,1,2025-09-12,2025-09-11,2025-09-15,2025-10-15,2025-10-10
M000053,Rajasthan,Other,Tier 2,Referral,2025-11-10,1,1,1,1,0,1,2025-11-12,2025-11-17,2025-11-17,2025-12-13,2026-01-05
M000054,Madhya Pradesh,Fashion/Retail,Tier 2,Partner,2025-12-18,1,1,0,0,0,0,2025-12-18,2025-12-20,,,
M000055,Rajasthan,Fashion/Retail,Tier 3+,Field sales,2025-12-29,1,1,0,0,0,0,2025-12-29,2025-12-29,,,
M000056,Uttar Pradesh,Other,Tier 3+,Field sales,2025-07-16,1,1,1,1,0,0,2025-07-16,2025-07-18,2025-07-24,2025-08-10,
M000057,Rajasthan,Services,Tier 3+,Online,2026-01-16,1,0,0,0,0,0,2026-01-17,,,,
M000058,Maharashtra,Other,Tier 3+,Field sales,2025-08-26,1,1,1,1,1,0,2025-08-28,2025-09-02,2025-08-31,2025-09-28,
M000059,Karnataka,Kirana/Grocery,Tier 3+,Partner,2026-03-29,1,1,1,0,0,0,2026-03-31,2026-04-02,2026-04-03,,
M000060,Karnataka,Fashion/Retail,Tier 1,Field sales,2026-03-07,1,0,0,0,0,0,2026-03-10,,,,
M000061,Rajasthan,Fashion/Retail,Tier 1,Online,2026-06-02,1,1,0,0,0,0,2026-06-05,2026-06-07,,,
M000062,Uttar Pradesh,Other,Tier 3+,Organic QR,2026-03-29,1,0,0,0,0,0,2026-04-01,,,,
M000063,Karnataka,Food & Beverage,Tier 2,Organic QR,2025-11-11,1,1,1,1,1,0,2025-11-12,2025-11-15,2025-11-17,2025-12-01,
M000064,West Bengal,Fashion/Retail,Tier 1,Organic QR,2026-06-19,0,0,0,0,0,0,,,,,
M000065,Telangana,Kirana/Grocery,Tier 2,Field sales,2025-11-27,0,0,0,0,0,0,,,,,
M000066,Uttar Pradesh,Services,Tier 2,Partner,2025-10-27,1,1,1,0,0,0,2025-10-28,2025-10-28,2025-10-30,,
M000067,Uttar Pradesh,Food & Beverage,Tier 3+,Field sales,2026-05-27,1,1,1,1,1,0,2026-05-29,2026-06-03,2026-05-31,2026-06-17,
M000068,Karnataka,Services,Tier 3+,Field sales,2025-11-13,1,1,0,0,0,0,2025-11-14,2025-11-13,,,
M000069,Bihar,Pharmacy,Tier 1,Field sales,2025-07-28,1,1,1,1,1,1,2025-07-31,2025-07-30,2025-08-05,2025-08-25,2025-08-24
M000070,Uttar Pradesh,Food & Beverage,Tier 2,Partner,2025-12-19,1,1,1,1,1,0,2025-12-19,2025-12-24,2025-12-28,2026-01-16,
M000071,Maharashtra,Kirana/Grocery,Tier 1,Online,2026-04-17,1,1,1,1,1,0,2026-04-18,2026-04-24,2026-04-25,2026-05-09,
M000072,West Bengal,Food & Beverage,Tier 3+,Field sales,2025-09-08,0,0,0,0,0,0,,,,,
M000073,Madhya Pradesh,Services,Tier 1,Online,2025-12-16,1,1,1,1,0,1,2025-12-19,2025-12-17,2025-12-26,2026-01-13,2026-03-04
M000074,Bihar,Pharmacy,Tier 2,Referral,2025-08-17,1,0,0,0,0,0,2025-08-17,,,,
M000075,Madhya Pradesh,Pharmacy,Tier 2,Field sales,2026-03-08,0,0,0,0,0,0,,,,,
M000076,West Bengal,Kirana/Grocery,Tier 2,Field sales,2025-12-21,1,1,1,0,0,0,2025-12-24,2025-12-28,2025-12-31,,
